Unicode,Char,Name,Ascender,Descender,Symmetry,Bouba_Score
U+00EC,ì,LATIN SMALL LETTER I WITH GRAVE,True,False,Left-Pointing,0.5
U+00ED,í,LATIN SMALL LETTER I WITH ACUTE,True,False,Right-Pointing,0.5
U+00EE,î,LATIN SMALL LETTER I WITH CIRCUMFLEX,True,False,Symmetrical,0.588
U+00EF,ï,LATIN SMALL LETTER I WITH DIAERESIS,True,False,Symmetrical,0.842
U+00F0,ð,LATIN SMALL LETTER ETH,True,False,Symmetrical,0.781
U+00F1,ñ,LATIN SMALL LETTER N WITH TILDE,True,False,Symmetrical,0.677
U+00F2,ò,LATIN SMALL LETTER O WITH GRAVE,True,False,Symmetrical,0.889
U+00F3,ó,LATIN SMALL LETTER O WITH ACUTE,True,False,Symmetrical,0.889
U+00F4,ô,LATIN SMALL LETTER O WITH CIRCUMFLEX,True,False,Symmetrical,0.875
U+00F5,õ,LATIN SMALL LETTER O WITH TILDE,True,False,Symmetrical,0.97
U+00F6,ö,LATIN SMALL LETTER O WITH DIAERESIS,True,False,Symmetrical,1.0
U+00F7,÷,DIVISION SIGN,False,False,Symmetrical,0.842
U+00F8,ø,LATIN SMALL LETTER O WITH STROKE,False,False,Symmetrical,0.704
U+00F9,ù,LATIN SMALL LETTER U WITH GRAVE,True,False,Symmetrical,0.542
U+00FA,ú,LATIN SMALL LETTER U WITH ACUTE,True,False,Symmetrical,0.542
U+00FB,û,LATIN SMALL LETTER U WITH CIRCUMFLEX,True,False,Symmetrical,0.586
U+00FC,ü,LATIN SMALL LETTER U WITH DIAERESIS,True,False,Symmetrical,0.742
U+00FD,ý,LATIN SMALL LETTER Y WITH ACUTE,True,True,Symmetrical,0.621
U+00FE,þ,LATIN SMALL LETTER THORN,True,True,Right-Pointing,0.724
U+00FF,ÿ,LATIN SMALL LETTER Y WITH DIAERESIS,True,True,Symmetrical,0.778
U+0100,Ā,LATIN CAPITAL LETTER A WITH MACRON,True,False,Symmetrical,0.294
U+0101,ā,LATIN SMALL LETTER A WITH MACRON,True,False,Left-Pointing,0.645
U+0102,Ă,LATIN CAPITAL LETTER A WITH BREVE,True,False,Symmetrical,0.565
U+0103,ă,LATIN SMALL LETTER A WITH BREVE,True,False,Left-Pointing,0.757
U+0104,Ą,LATIN CAPITAL LETTER A WITH OGONEK,True,True,Symmetrical,0.607
U+0105,ą,LATIN SMALL LETTER A WITH OGONEK,False,True,Left-Pointing,0.762
U+0106,Ć,LATIN CAPITAL LETTER C WITH ACUTE,True,False,Right-Pointing,0.821
U+0107,ć,LATIN SMALL LETTER C WITH ACUTE,True,False,Right-Pointing,0.821
U+0108,Ĉ,LATIN CAPITAL LETTER C WITH CIRCUMFLEX,True,False,Right-Pointing,0.818
U+0109,ĉ,LATIN SMALL LETTER C WITH CIRCUMFLEX,True,False,Right-Pointing,0.818
U+010A,Ċ,LATIN CAPITAL LETTER C WITH DOT ABOVE,True,False,Right-Pointing,0.926
U+010B,ċ,LATIN SMALL LETTER C WITH DOT ABOVE,True,False,Right-Pointing,0.926
U+010C,Č,LATIN CAPITAL LETTER C WITH CARON,True,False,Right-Pointing,0.818
U+010D,č,LATIN SMALL LETTER C WITH CARON,True,False,Right-Pointing,0.818
U+010E,Ď,LATIN CAPITAL LETTER D WITH CARON,True,False,Right-Pointing,0.643
U+010F,ď,LATIN SMALL LETTER D WITH CARON,True,False,Symmetrical,0.686
U+0110,Đ,LATIN CAPITAL LETTER D WITH STROKE,True,False,Symmetrical,0.381
